0,76.46,1.03,1,196.31,true,31
0,27.00,190.00,2,136.00,false,20
1,79.54,76.52,0,165.92,290.67,true
0,71.71,10.00,0,23.00,false,21
1,48.00,20.00,1,144.40,444.00,true
1,58.92,34.00,2,41.62,83.02,true
1,91.00,157.43,2,76.00,467.00,false
1,90.04,189.27,0,135.38,454.00,true
1,84.14,96.14,0,117.00,183.53,true
0,31.00,17.80,1,55.18,true,48
0,15.37,14.18,1,193.05,true,17
0,11.00,193.64,0,172.84,false,40
1,17.47,95.99,1,184.00,459.00,false
0,4.00,186.00,0,81.00,true,47
1,35.00,88.00,0,38.27,371.00,false
1,41.54,49.91,0,110.00,121.00,false
0,59.00,8.89,0,128.00,true,10
1,12.31,67.15,1,8.00,358.70,true
1,64.00,178.00,1,1.00,226.00,true
0,49.00,173.85,1,127.00,false,30
0,71.00,118.54,2,29.90,true,32
0,26.98,121.36,2,77.09,true,48
0,28.69,22.49,2,82.00,false,43
0,74.00,57.68,0,17.00,false,21
1,26.00,170.00,2,139.00,252.22,true
0,91.64,98.56,0,120.00,true,35
1,38.00,52.29,0,110.96,82.00,true
1,87.14,142.00,0,52.04,389.69,false
0,94.24,142.28,1,57.30,false,22
1,62.00,55.00,1,142.00,349.00,true
0,64.68,36.26,1,164.00,true,26
1,78.82,110.00,1,195.90,222.64,false
0,69.99,120.00,0,17.00,true,36
0,84.30,34.05,1,30.00,false,16
1,54.00,124.00,1,89.58,188.81,true
1,39.23,90.00,0,95.71,359.00,false
1,81.12,96.35,1,142.00,489.50,true
1,43.00,180.00,1,49.00,16.00,false
1,88.90,147.09,0,85.49,259.06,true
0,79.15,65.00,2,102.00,false,40
0,17.54,10.00,1,20.61,false,41
0,25.00,116.54,2,190.98,true,46
0,38.18,131.56,2,185.11,false,16
1,39.00,109.00,2,187.00,570.46,true
0,32.00,195.00,1,156.01,true,41
1,41.89,164.00,1,30.19,155.00,false
1,95.56,163.00,1,23.99,253.00,true
0,51.00,88.08,0,74.94,true,26
1,72.00,3.26,1,19.83,188.57,false
0,34.59,12.00,2,118.64,false,18
0,36.40,66.39,1,182.00,false,29
0,46.75,122.74,1,194.96,false,27
1,94.00,188.00,2,51.00,153.16,false
1,25.00,33.00,0,137.16,374.00,true
1,56.09,54.31,2,41.00,132.05,true
1,88.69,21.00,1,124.00,415.91,false
0,32.29,151.00,1,144.54,true,48
1,44.93,65.28,2,66.73,74.08,true
1,67.00,106.00,2,19.00,10.04,false
0,58.00,120.00,0,53.00,false,38
0,48.00,62.00,1,148.00,true,23
1,83.74,184.00,1,132.00,78.00,true
0,19.00,33.00,1,3.00,true,17
1,61.28,83.17,2,166.00,273.29,true
1,24.25,169.03,1,190.99,144.00,false
0,17.00,71.24,1,90.00,true,48
1,81.00,182.30,1,9.00,57.00,true
1,59.10,45.00,0,95.28,74.32,true
0,74.00,45.18,1,176.00,false,26
1,19.17,59.79,0,90.28,228.00,false
0,92.00,129.22,2,3.00,false,20
0,72.00,166.40,0,117.00,true,36
0,15.66,133.92,1,193.58,true,15
0,62.00,46.12,2,174.22,false,38
1,45.74,71.22,2,3.00,136.00,false
0,59.90,132.90,0,125.28,false,17
1,94.00,196.00,1,81.41,69.00,false
0,25.00,49.57,0,81.82,true,13
1,61.00,111.15,0,78.00,246.20,false
0,88.07,186.26,2,123.00,false,48
1,84.00,99.03,2,108.77,198.00,true
1,93.70,120.00,2,71.46,337.45,false
0,64.87,126.00,2,31.00,true,14
1,26.00,97.94,2,6.51,584.00,true
0,41.00,32.00,2,159.85,true,38
1,52.00,27.19,2,159.00,538.00,false
1,44.00,156.00,2,12.00,247.59,true
0,91.48,10.47,2,69.47,true,13
1,35.77,154.38,0,106.00,484.33,false
1,70.75,187.00,0,142.51,588.95,true
0,14.37,160.00,2,3.26,false,11
0,45.43,140.00,2,134.00,false,47
1,91.00,15.00,1,188.00,574.00,false
1,18.00,171.74,1,174.29,417.00,false
0,91.00,84.15,2,143.00,false,11
1,68.68,70.00,0,124.24,135.00,true
1,59.00,13.00,1,171.00,183.00,true
0,57.00,102.00,0,195.00,true,17
1,9.12,141.00,2,138.24,31.00,true
1,15.45,143.11,2,7.00,390.89,true
0,73.20,77.00,2,78.46,true,40
1,80.00,96.80,2,40.59,13.81,true
0,80.41,37.00,1,179.00,false,47
1,15.71,133.48,0,102.18,147.00,false
0,38.93,29.38,0,57.00,false,34
0,27.67,180.92,0,144.12,true,18
1,76.00,45.00,0,22.72,359.22,false
0,78.00,79.10,2,113.00,true,14
0,36.00,153.00,0,126.88,true,24
1,36.00,23.36,2,119.94,341.00,true
1,24.00,32.99,0,31.06,204.00,true
1,21.00,42.00,0,117.96,458.00,true
1,91.29,185.00,0,61.00,317.86,true
0,93.19,172.60,1,162.47,false,25
0,93.57,159.35,2,155.00,true,10
1,93.00,57.93,0,169.00,43.00,true
1,63.04,101.00,2,158.00,85.00,true
1,55.14,181.38,2,129.69,93.00,true
1,89.00,111.50,1,135.00,11.45,true
1,36.34,104.74,0,92.30,38.97,false
0,66.00,197.37,2,9.70,true,33
1,76.85,150.00,1,120.72,463.00,false
0,23.54,193.00,1,118.00,false,27
0,72.76,172.00,0,33.00,false,12
1,45.86,118.00,1,51.00,360.00,false
0,15.17,20.66,0,154.00,false,31
1,56.00,26.68,2,59.00,479.39,true
1,94.36,138.99,1,28.84,528.00,false
0,68.00,153.74,0,144.00,true,42
0,47.22,176.50,1,194.98,true,48
1,24.52,81.00,1,115.00,357.25,false
0,65.00,191.13,0,4.00,true,10
0,19.16,101.00,1,30.32,false,26
0,61.71,112.00,1,183.00,true,45
0,52.00,68.00,1,112.00,false,28
1,81.04,146.04,2,110.00,218.00,true
0,76.88,132.00,0,179.39,false,19
1,72.00,181.43,0,141.00,420.56,true
1,67.68,107.00,2,53.49,234.73,false
1,72.00,157.00,0,31.85,25.65,true
0,58.62,174.00,0,163.04,true,31
0,94.00,151.00,2,156.00,true,10
0,13.00,115.00,2,109.94,true,38
1,79.00,162.00,0,95.00,505.00,true
1,80.00,119.00,1,142.25,241.00,true
